"x","y","z","ID","nodeid","treeid","radius","radius_obs","length","volume","n","tumor_half","cen_dist","parent","generation","gen_diff","hs_nodeid","hs_parent","hs_length","beta.ave","gamma.ave","beta.diff","gamma.diff","asymmetry"
57.7477863953033,56.3012075459882,125.32304526749,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,41.4511514413344,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
57.7477863953033,57.1231248532289,124.067901234568,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,41.5830849456007,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
57.7477863953033,57.9450421604697,124.067901234568,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,42.231025411518,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
58.569703702544,58.7669594677104,122.812757201646,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,42.0457528881261,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
58.569703702544,59.5888767749511,122.812757201646,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,42.7183108500835,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
58.569703702544,60.4107940821918,122.812757201646,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,43.3960127656821,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
58.569703702544,61.2327113894324,122.812757201646,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,44.0786213731101,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
58.569703702544,62.0546286966731,122.812757201646,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,44.7659122153078,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
58.569703702544,62.8765460039139,122.812757201646,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,45.4576729156167,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
59.3916210097847,63.6984633111546,121.557613168724,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,45.4246001793106,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
59.3916210097847,64.5203806183953,121.557613168724,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,46.1357737999973,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
59.3916210097847,65.342297925636,121.557613168724,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,46.8505714257436,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
59.3916210097847,66.1642152328767,121.557613168724,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,47.568829687441,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
59.3916210097847,66.9861325401174,121.557613168724,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,48.290394167647,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
59.3916210097847,67.8080498473581,121.557613168724,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,49.0151188514376,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
59.3916210097847,68.6299671545988,121.557613168724,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,49.7428656120078,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
59.3916210097847,69.4518844618395,121.557613168724,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,50.4735037290643,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
59.3916210097847,70.2738017690802,121.557613168724,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,51.2069094380959,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
59.3916210097847,71.0957190763209,121.557613168724,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,51.9429655086684,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
59.3916210097847,71.9176363835616,121.557613168724,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,52.6815608499594,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
59.3916210097847,72.7395536908023,120.302469135802,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,53.117087616949,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
59.3916210097847,72.7395536908023,120.302469135802,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,53.117087616949,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
60.2135383170254,72.7395536908023,120.302469135802,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,52.8365882193425,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
61.0354556242661,73.561470998043,119.047325102881,1382,349.002,2,0.78372,0.625705,23.7571,45.8421,NA,0,53.0463591687432,300.002,1,2,302.002,26.002,23.7571,NA,NA,NA,NA,NA
61.0354556242661,53.8354556242661,107.751028806584,1383,350.002,2,1.14909,1.14055,12.1663,50.4684,2,0,33.8314958582909,301.002,2,2,96.002,7.002,14.91143,0.891714313065121,1.12138448008022,0,0,NA
60.2135383170254,53.8354556242661,106.495884773663,1383,350.002,2,1.14909,1.14055,12.1663,50.4684,2,0,34.2789924229962,301.002,2,2,96.002,7.002,14.91143,0.891714313065121,1.12138448008022,0,0,NA
59.3916210097847,53.8354556242661,106.495884773663,1383,350.002,2,1.14909,1.14055,12.1663,50.4684,2,0,34.7097862825761,301.002,2,2,96.002,7.002,14.91143,0.891714313065121,1.12138448008022,0,0,NA
58.569703702544,53.8354556242661,105.240740740741,1383,350.002,2,1.14909,1.14055,12.1663,50.4684,2,0,35.229269629598,301.002,2,2,96.002,7.002,14.91143,0.891714313065121,1.12138448008022,0,0,NA
58.569703702544,53.8354556242661,103.985596707819,1383,350.002,2,1.14909,1.14055,12.1663,50.4684,2,0,35.3484560937011,301.002,2,2,96.002,7.002,14.91143,0.891714313065121,1.12138448008022,0,0,NA
57.7477863953033,54.6573729315068,103.985596707819,1383,350.002,2,1.14909,1.14055,12.1663,50.4684,2,0,36.4806476358364,301.002,2,2,96.002,7.002,14.91143,0.891714313065121,1.12138448008022,0,0,NA
57.7477863953033,54.6573729315068,103.985596707819,1383,350.002,2,1.14909,1.14055,12.1663,50.4684,2,0,36.4806476358364,301.002,2,2,96.002,7.002,14.91143,0.891714313065121,1.12138448008022,0,0,NA
57.7477863953033,55.4792902387475,102.730452674897,1383,350.002,2,1.14909,1.14055,12.1663,50.4684,2,0,37.3182743430856,301.002,2,2,96.002,7.002,14.91143,0.891714313065121,1.12138448008022,0,0,NA
56.9258690880627,56.3012075459882,101.475308641975,1383,350.002,2,1.14909,1.14055,12.1663,50.4684,2,0,38.6360537293097,301.002,2,2,96.002,7.002,14.91143,0.891714313065121,1.12138448008022,0,0,NA
56.9258690880627,56.3012075459882,100.220164609053,1383,350.002,2,1.14909,1.14055,12.1663,50.4684,2,0,38.8665521574501,301.002,2,2,96.002,7.002,14.91143,0.891714313065121,1.12138448008022,0,0,NA
56.9258690880627,57.1231248532289,98.9650205761317,1383,350.002,2,1.14909,1.14055,12.1663,50.4684,2,0,39.8067750028002,301.002,2,2,96.002,7.002,14.91143,0.891714313065121,1.12138448008022,0,0,NA
62.6792902387476,53.8354556242661,109.006172839506,1384,351.002,2,1.72331,1.85429,3.20051,29.8605,2,0,33.0594331137618,301.002,4,1,7.002,1.002,236.268101,1.23813475230806,0.532846327616536,0.0106771271564605,0,NA
62.6792902387476,54.6573729315068,107.751028806584,1384,351.002,2,1.72331,1.85429,3.20051,29.8605,2,0,33.7755514736934,301.002,4,1,7.002,1.002,236.268101,1.23813475230806,0.532846327616536,0.0106771271564605,0,NA
63.5012075459883,55.4792902387475,106.495884773663,1384,351.002,2,1.72331,1.85429,3.20051,29.8605,2,0,34.188242837865,301.002,4,1,7.002,1.002,236.268101,1.23813475230806,0.532846327616536,0.0106771271564605,0,NA
57.7477863953033,46.4381998590998,107.751028806584,1385,352.002,2,1.10633,1.53126,3.28125,12.6171,2,0,29.7797225559262,302.002,2,2,91.002,7.002,19.89862,0.773575696220838,1.08005828571429,-0.120593313025951,0.0837318095238095,FALSE
